Output,Units,Mean Error,Std. Error,Sampled Mean,Sampled Max
Condenser Duty,kW,45.3427925109863,49.8128547668457,35541.37890625,74852.203125
Reboiler Duty,kW,40.5368041992188,41.8981132507324,39601.375,75373.0703125
Top Molar Flow,mol/s,0.71223521232605,0.697670757770538,713.577392578125,1288.91198730469
Top Propane Molar Fraction,-,7.94810912339017e-05,8.83449392858893e-05,0.106840081512928,0.18082894384861
Top Isobutane Molar Fraction,-,0.000179669470526278,0.000189086495083757,0.213671386241913,0.361378580331802
Top n-Hexane Molar Fraction,-,0.000529501237906516,0.000674665323458612,0.10796470195055,0.526549696922302
Top Isopentane Molar Fraction,-,0.000395442766603082,0.00045920890988782,0.571258068084717,0.701488554477692
Top n-Heptane Molar Fraction,-,1.96156770471134e-06,2.68363351096923e-06,0.000265738082816824,0.00224763923324645
Bottom Molar Flow,mol/s,0.665694653987885,0.721830129623413,713.577392578125,1288.91198730469
Bottom Propane Molar Fraction,-,3.99269263484658e-11,3.21026288885307e-10,3.50526807579854e-09,1.10950345799665e-07
Bottom Isobutane Molar Fraction,-,5.01719235046494e-08,3.25093083120009e-07,5.03948240293539e-06,0.000141435215482488
Bottom n-Hexane Molar Fraction,-,0.000280182342976332,0.000270961463684216,0.764823079109192,0.841387629508972
Bottom Isopentane Molar Fraction,-,0.000174851171323098,0.000152009684825316,0.043135829269886,0.175090193748474
Bottom n-Heptane Molar Fraction,-,0.000238879176322371,0.000256108411122113,0.192036032676697,0.455701172351837
