x1,y1,data_set_number,data_set
0.20229208,0,216,Testing
0.48431,0,104,LHS_Training_2
0.28167017,0,1978,Testing
0.36248439,0,1378,Testing
0.37415,0,39,Rand_Training_2
0.54271981,1,1205,Testing
0.735114,1,32,Rand_Vald_0
0.7153,1,57,selectiveSobolSampling_Train_XX
0.001010439,0,138,selectiveSobolSampling_Vald_XX
0.00083425,0,10,Rand_Training_5
0.41954,0,40,Rand_Training_2
0.6911471764,1,400025,selectiveSobolSampling_Vald_XX
0.99636261,1,75,Testing
0.58662444,1,797,Testing
0.031670466,0,1508,Testing
0.74058409,1,1873,Testing
0.4380717,0,1102,Testing
0.80034,1,159,regularSobol_Training_1
0.27112,0,188,regularSobol_Training_3
0.10701182,0,1372,Testing
0.49990485,0,350,Testing
0.58927,1,81,LHS_Training_3
0.475861,0,16,Rand_Vald_5
0.087377029,0,1804,Testing
0.42311388,0,742,Testing
0.86122,1,89,LHS_Training_4
0.40508,0,66,Rand_Vald_5
0.22371,0,13,LHS_Training_2
0.21541,0,21,LHS_Training_2
0.18954,0,78,regularSobol_Training_0
0.56015,1,141,regularSobol_Vald_0
0.99237,1,5,LHS_Training_1
0.056935784,0,516,Testing
0.44927,0,96,selectiveSobolSampling_Train_XX
0.66760147,1,1353,Testing
0.86389552,1,1527,Testing
0.589763,1,8,LHS_Vald_3
0.93938866,1,1115,Testing
0.40314883,0,1110,Testing
0.50346,1,91,LHS_Training_2
0.18007,0,54,LHS_Training_5
0.306426,0,59,LHS_Vald_4
0.86277,1,79,Rand_Training_5
0.33327,0,116,regularSobol_Vald_0
0.023845518,0,628,Testing
0.96464728,1,955,Testing
0.793454,1,111,Testing
0.85337,1,119,regularSobol_Vald_0
0.15272751,0,528,Testing
0.25482,0,49,Rand_Training_0
0.89267609,1,643,Testing
0.42377965,0,1766,Testing
0.25314,0,73,Rand_Training_1
0.11867244,0,1660,Testing
0.14033809,0,1968,Testing
0.080956722,0,76,Testing
0.634043,1,44,Rand_Vald_1
0.93791913,1,1627,Testing
0.68,1,111,LHS_Training_3
0.69311686,1,1921,Testing
0.1988355,0,142,selectiveSobolSampling_Vald_XX
0.82719,1,106,Rand_Training_4
0.333965,0,15,Rand_Vald_0
0.88399,1,104,Rand_Training_5
0.35210699,0,130,Testing
0.88206917,1,1955,Testing
0.37373,0,148,Rand_Training_5
0.58238606,1,1757,Testing
0.058075191,0,1028,Testing
0.52080792,1,933,Testing
0.47219556,0,574,Testing
0.94754,1,78,Rand_Training_1
0.53137853,1,1013,Testing
0.32381,0,99,LHS_Training_1
0.92628,1,19,selectiveSobolSampling_Train_XX
0.81868,1,71,regularSobol_Training_0
0.41689068,0,1798,Testing
0.83539,1,1,Rand_Training_2
0.16026,0,31,LHS_Training_2
