x1,x2,x3,y1,y2,y3,y4,data_set_number,data_set
0.75069,0.48488,0.79111,1.81356448938034e-14,0.999998505128286,0.510547086013778,0.396763593307909,331,Rand_Training_2
0.45515,0.32337,0.34544,4.47146010061154e-20,0.886558803219852,0.187075881004519,0.192979185711993,432,Rand_Training_1
0.9158794,0.2736395,0.9323824,4.45096200198968e-27,0.999999962804117,0.492651529764914,0.322341920400897,12,Rand_Vald_2
0.62204,0.59239,0.16369,4.80334780568107e-08,0.653283958738556,0.212631543502889,0.375334558036625,359,Rand_Training_2
0.9567997,0.1146429,0.9652384,2.47780860460098e-40,0.999999982273501,0.425828034960308,0.253206622923933,122,LHS_Vald_3
0.43516,0.58356,0.7993,4.74987110317525e-16,0.999999883396368,0.571522090555852,0.39875672222573,1012,Rand_Training_4
0.17852436,0.58154127,0.65412451,7.17422370015464e-37,0.99963743397003,0.46827803885828,0.321067294487873,958,Testing
0.540666,0.6475256,0.8411869,5.21843254347948e-11,0.999999979637809,0.640498735976008,0.483068499735298,211,Rand_Vald_1
0.88962,0.091483,0.80093,2.915081979925e-44,0.99999993354765,0.310112814107571,0.203288434461702,1113,LHS_Training_3
0.008763083,0.57827463,0.97562278,4.03557453857487e-55,0.999999999875926,0.707887651094519,0.314928479451228,1670,regularSobol_Vald_4
0.092125,0.34524,0.7505,7.24957486777519e-37,0.999985222620734,0.40870647409363,0.162069416236194,1358,regularSobol_Training_2
0.28043,0.1088,0.79266,2.97036323301641e-31,0.999999744853467,0.31398208869037,0.0943316023651389,1133,Rand_Training_3
0.63684,0.64388,0.99153,1.67292837088375e-06,0.999999999986505,0.762845811077482,0.538542733896544,1,Testing
0.22331,0.37238,0.057582,3.21553557037403e-25,0.000525757381909828,0.106347058030726,0.172129764499305,636,LHS_Training_3
0.17376,0.78999,0.40174,1.08883559616786e-39,0.390506643891489,0.411358826808074,0.462633936600377,396,LHS_Training_4
0.28173,0.60823,0.20015,4.62116044365177e-28,0.0453631851522519,0.233348485983778,0.329895339275923,677,Rand_Training_3
0.063944,0.98827,0.527,6.43432909539058e-49,0.788473785026759,0.592283900939333,0.634256073623878,665,LHS_Training_1
0.66332,0.68922,0.083907,5.31392517880812e-06,0.214837519246381,0.2150057918598,0.449473673379382,886,Rand_Training_4
0.09949303,0.176026,0.5518176,1.01748096116945e-25,0.943764265846194,0.218307047653256,0.0751793025753589,9,Rand_Vald_2
0.9825218,0.7468903,0.8747622,0.695949060704268,0.999999997437977,0.727455601494742,0.69479481623846,1,LHS_Vald_4
0.45128,0.71172,0.27972,6.97167028770055e-17,0.66832992671805,0.310439698656,0.443335880958292,303,Rand_Training_1
0.046147,0.48624,0.66867,4.88296508797699e-48,0.998575972891523,0.428858738444,0.229430502955709,534,regularSobol_Training_0
0.1615693,0.1192302,0.1869052,1.41133747682408e-22,0.0131827594506653,0.0652026664322699,0.056930355167127,92,LHS_Vald_1
0.3632027,0.7033351,0.9965981,6.41468617580247e-23,0.999999999997868,0.805502040981196,0.517180447674617,19,LHS_Vald_0
0.84237,0.67948,0.52938,3.85762307789326e-05,0.999999478629405,0.436961530795259,0.524000362278789,49,LHS_Training_2
0.80604,0.12605,0.074874,5.29965750594347e-42,0.861928106232435,0.0420603621937926,0.147928054340589,867,Rand_Training_0
0.6481,0.022046,0.88389,8.38706751337188e-53,0.999999994465028,0.323760096832833,0.141182901416445,1049,Rand_Training_1
0.60096,0.89071,0.83541,5.00381608290886e-08,0.999999959935038,0.782377179819926,0.726467522495151,68,LHS_Training_2
0.92042,0.55913,0.25767,1.01486580901215e-08,0.999992432222497,0.239711796038593,0.410809708530987,831,Rand_Training_0
0.78762716,0.8366935,0.0079408539,0.0256537084674069,0.179374600678808,0.235198016122567,0.58896709646506,1447,Testing
0.66427739,0.15760085,0.43820562,5.68831436075257e-39,0.999644152712986,0.160998765827289,0.15606614156887,1021,selectiveSobolSampling_Vald_XX
0.47770062,0.86227775,0.99507045,5.68816583319038e-15,0.99999999999695,0.908585744673456,0.703918036100887,1072,Testing
0.81000472,0.88672737,0.63935297,0.232823667612855,0.99999916889285,0.620937467453357,0.730425777955424,647,Testing
0.6313963,0.5898661,0.4028461,2.6643869067896e-08,0.998619129922925,0.322466957912201,0.3947563257093,20,Rand_Vald_0
0.1532,0.27259,0.31785,1.56824134844415e-26,0.0691171764703973,0.157361105126593,0.118190807764914,236,Rand_Training_2
0.65778,0.41093,0.6121,1.57926467176834e-18,0.999892575203921,0.356991136241556,0.301120996636578,275,Rand_Training_4
0.52271,0.58682,0.60657,6.93192510909945e-11,0.999668481613324,0.439991644997482,0.393630943445532,1028,Rand_Training_3
0.80709,0.23214,0.046559,3.21170884836741e-32,0.66423159154319,0.0645094266513852,0.190195298522158,529,Rand_Training_0
0.2720568,0.7324109,0.1451726,1.84433796200083e-30,0.0100509521164754,0.255470761655732,0.418675965668369,77,Rand_Vald_1
0.4879855,0.07326658,0.8947879,5.46434088749342e-44,0.999999998996657,0.357345055738177,0.13011166637477,36,LHS_Vald_2
0.3692,0.77781,0.95896,8.90435919397979e-23,0.999999999978729,0.819951449159185,0.57907555920712,1161,LHS_Training_3
0.49116,0.49505,0.73856,3.39532394934649e-10,0.999998023426732,0.479604230781111,0.33795398132936,246,Rand_Training_4
0.7986704,0.46274832,0.071151106,1.43415661175247e-15,0.814528547213031,0.137218265766584,0.312440558953106,455,Testing
0.50898,0.17018,0.34082,6.64407819130792e-35,0.947989804059216,0.128765516216,0.131404613240429,1361,regularSobol_Training_2
0.47448,0.82496,0.84577,1.75555083194825e-15,0.99999998753994,0.750793400115111,0.628023729648472,128,Rand_Training_1
0.91632,0.64933,0.45056,5.13289834076769e-05,0.999999896294637,0.375313017143778,0.502262165785739,881,LHS_Training_3
0.87577,0.76161,0.23431,0.023708200822097,0.999931833064295,0.30805269944363,0.56050909445415,234,Rand_Training_2
0.98879,0.0074125,0.96273,1.19934233777237e-50,0.999999992983899,0.365024885887523,0.213344663633776,92351,selectiveSobolSampling_Train_XX
0.4882,0.12548,0.84523,1.24791667689984e-38,0.999999986679403,0.353992349080444,0.145604924551671,1516,regularSobol_Training_3
0.218312,0.6332245,0.4953849,3.83203710301737e-34,0.939375438053559,0.394016618154006,0.353744801849836,104,LHS_Vald_0
0.92806,0.43271,0.28815,1.85713128514433e-15,0.999997578516193,0.20483656094437,0.330277759752213,287,LHS_Training_0
0.60311,0.8885,0.8938,5.83317447609203e-08,0.999999997836837,0.832465243,0.740004450588138,456,LHS_Training_2
0.099913,0.22936,0.69181,2.66420029499114e-29,0.999790592458997,0.315368093875111,0.103254015052306,318,selectiveSobolSampling_Train_XX
0.23785,0.88182,0.51146,5.13632688688928e-33,0.969851839958347,0.526087272618963,0.56917642423785,391,LHS_Training_4
0.18905,0.64064,0.46706,4.95304596709238e-37,0.81936688879401,0.380844299752889,0.351237598826025,961,Rand_Training_4
0.39001,0.66123,0.099273,1.66343113393037e-20,0.00622892080304336,0.2113766008958,0.382352909615327,462,Rand_Training_1
0.15449,0.17838,0.16672,2.86239170646159e-20,0.00958739868782533,0.0777933825922963,0.0766948574250759,154,selectiveSobolSampling_Train_XX
0.80858,0.097091,0.87482,7.1117650665421e-45,0.99999992178336,0.357463482822229,0.20037938269015,1451,regularSobol_Training_3
0.70076946,0.25127108,0.065233353,8.15293224550316e-31,0.232265776907884,0.0738785874123245,0.184093770422041,585,Testing
0.45849784,0.5087355,0.53270054,1.38450114529309e-12,0.996508988623947,0.357412211977568,0.316822568533029,96,Testing
0.03233808,0.2037687,0.09308808,5.03282043182003e-35,0.000360562637469296,0.0670601800023389,0.0680734170686066,165,LHS_Vald_0
0.41224,0.031077,0.84802,6.65909665430192e-46,0.999999989758341,0.30707581322569,0.0959975778322826,503,LHS_Training_0
