x1,x2,y1,data_set_number,data_set
0.035369,0.28449,8.4588724736859e-40,83,Rand_Training_1
0.92681,0.88511,0.957109603941581,90564,selectiveSobolSampling_Train_XX
0.089314,0.11048,6.93371780202581e-22,99,selectiveSobolSampling_Train_XX
0.52347,2.9955e-05,4.8316513539824e-53,76102,selectiveSobolSampling_Train_XX
0.52766,0.23918,3.52405794953204e-29,308,Rand_Training_5
0.8203757,0.7499027,0.00279547988578254,21,Rand_Vald_8
0.7448828,0.09195851,9.4191316637551e-46,147,Rand_Vald_9
0.73435,0.62068,7.78264490708081e-08,219,LHS_Training_3
0.97364329,0.793451,0.934578427415444,1681,Testing
0.27798747,0.70682992,8.95331369451697e-30,1278,Testing
0.52087,0.71366,9.24868401062667e-13,791,LHS_Training_8
0.95967,0.98098,0.998990823812874,1180,regularSobol_Training_9
0.87841,0.84931,0.537816306328455,281,Rand_Training_5
0.75398,0.38526,1.09482539940997e-20,156,LHS_Training_5
0.79713,0.22665,8.94917133026993e-33,537,LHS_Training_5
0.03439181912,0.1340497123,9.33543638622731e-30,400027,selectiveSobolSampling_Vald_XX
0.4714937537,0.1933129151,1.33497742159806e-31,400005,selectiveSobolSampling_Vald_XX
0.26985,0.86284,2.2798587216579e-30,829,LHS_Training_8
0.35741,0.1315,5.99406642772847e-33,309,Rand_Training_3
0.76868,0.4872,2.64113912256911e-14,688,regularSobol_Training_5
0.081632,0.77208,2.58227311558852e-49,338,Rand_Training_8
0.86884484,0.48614874,1.91421571143569e-13,1725,Testing
0.75736,0.88362,0.0166936410653151,57,LHS_Training_8
0.12562,0.20267,7.45227673152004e-25,217,LHS_Training_3
0.26074004,0.9292628,2.90997228477152e-30,414,Testing
0.53264,0.20106,1.11043368000771e-32,229,LHS_Training_9
0.88214,0.10492,4.80144773791618e-43,214,LHS_Training_9
0.38744,0.20536,2.79503955442718e-27,46877,selectiveSobolSampling_Train_XX
0.37595,0.58117,4.43574609485331e-20,40413,selectiveSobolSampling_Train_XX
0.4677,0.14748,8.28392270146437e-36,482,LHS_Training_6
