sim_time,output_collector_flowrate__l_m_,score_output_collector_flowrate__l_m_,output_1_Line1_flowrate__l_m_,score_output_1_Line1_flowrate__l_m_,output_1_Line1_pressure__kPa_,score_output_1_Line1_pressure__kPa_,output_1_Line1_power__W_,score_output_1_Line1_power__W_,output_1_Line2_flowrate__l_m_,score_output_1_Line2_flowrate__l_m_,output_1_Line2_pressure__kPa_,score_output_1_Line2_pressure__kPa_,output_1_Line2_power__W_,score_output_1_Line2_power__W_,output_1_Line3_flowrate__l_m_,score_output_1_Line3_flowrate__l_m_,output_1_Line3_pressure__kPa_,score_output_1_Line3_pressure__kPa_,output_1_Line3_power__W_,score_output_1_Line3_power__W_,output_1_Line4_flowrate__l_m_,score_output_1_Line4_flowrate__l_m_,output_1_Line4_pressure__kPa_,score_output_1_Line4_pressure__kPa_,output_1_Line4_power__W_,score_output_1_Line4_power__W_,input_collector_pressure,input_pump_speed_1,input_source_pressure_1,input_pump_speed_2,input_source_pressure_2,input_pump_speed_3,input_source_pressure_3,input_pump_speed_4,input_source_pressure_4,input_coll_pipe_length,input_coll_pipe_ele,input_pipe1_length_1,input_pipe2_length_1,input_pipe2_ele_1,input_pipe1_length_2,input_pipe2_length_2,input_pipe2_ele_2,input_pipe1_length_3,input_pipe2_length_3,input_pipe2_ele_3,input_pipe1_length_4,input_pipe2_length_4,input_pipe2_ele_4
40.9781562,253.324925959869,1.16840537834233e-13,63.3661758646107,0,291.979817873982,3.59509347182254e-14,-564.027325798267,1.60777467769219e-13,54.5366097190617,6.35528743231302e-15,282.068817383312,8.62073130071116e-14,-491.415310342216,1.64747879650684e-13,71.0390904887091,4.49386683977818e-15,321.422129936199,0,-647.251526165041,1.19235761322915e-13,63.9069281377538,7.45223508268219e-15,297.844577973411,0,-479.92401298915,7.19018694364508e-14,1.42820126559313,2831.9809843711,0.933797861563771,2713.93338826264,0.742104502084644,2981.3750257395,1.18008945657938,2657.30228966823,1.41412655309472,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
7.6157192,221.264927410833,6.66548169167446e-14,39.4779127302438,8.40725502811724e-15,272.267646624284,0,-387.62352694856,6.48114692637101e-14,55.2623983013068,5.9448270415464e-15,262.56853347124,5.96178806614575e-14,-382.398252072519,8.62073130071116e-14,61.8132218077964,7.45223508268219e-15,301.810769726069,0,-458.813425437414,1.15099150726318e-13,64.202412449901,1.2710574864626e-14,278.340179590333,5.96178806614575e-14,-606.160075103635,1.19235761322915e-13,1.23680293906007,2548.15612502461,0.55138301650418,2452.32838921394,1.17168475201655,2611.00274606465,1.47656054721448,2911.97477648143,0.6568928259448,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.8813311,251.076818429809,3.59509347182254e-14,60.0600003298539,1.47341277691224e-14,286.050776732678,5.96178806614575e-14,-586.466257509643,8.80614458357608e-14,52.7312470997936,1.78344811246392e-14,276.159516175325,5.96178806614575e-14,-476.200139129261,1.04814085458348e-13,69.7647765854514,8.98773367955635e-15,315.510250250499,0,-616.552740835902,1.86806536534675e-13,68.0201371409146,2.20153614589402e-14,291.989922782917,0,-537.762234442623,1.01684598917008e-13,1.37016856823014,2876.11769928057,0.649778987411621,2690.92698648736,0.664066276263714,2926.88252438754,1.19735183252005,2779.5573137886,1.23832669625266,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.9495464,194.643283984264,2.8421709430404e-14,53.0996975115574,1.40320947097418e-14,296.93685816418,0,-443.518008986982,1.09340499316609e-13,55.5098852864516,5.9448270415464e-15,287.129917024318,0,-408.427128231979,6.22688455115583e-14,45.2512873141567,1.87991937470471e-14,326.219355991814,5.96178806614575e-14,-523.035214758519,8.80614458357608e-14,40.4375011782183,1.00485917355762e-14,302.698746251563,0,-422.115037766177,5.39264020773381e-14,1.47929948627175,2610.43693816263,1.05329805355094,2514.84873268493,1.28061438715246,2855.72199713682,0.576094959528376,2641.34852250099,0.670163652117054,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.7467945,249.740630711296,4.58286294150329e-14,56.0815623460889,8.98773367955635e-15,273.093503494715,0,-503.563155035947,5.96178806614575e-14,63.6685561351073,7.45223508268219e-15,263.325706610909,5.96178806614575e-14,-512.239195881725,1.19235761322915e-13,60.964738987828,1.60463142018389e-14,302.492663164893,5.96178806614575e-14,-502.979821841746,1.48229501182928e-13,68.4570233888911,0,279.07436265402,5.96178806614575e-14,-508.667439856979,5.96178806614575e-14,1.24294657679693,2732.16562471776,0.681889135159931,2728.2679943246,0.905980236900997,2707.19151410637,1.22706721382791,2719.04495923177,1.26925753838092,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.6301461,229.056681003641,7.46577230561553e-14,62.077868867991,1.47341277691224e-14,290.97294660238,4.75586163323712e-14,-529.179071070526,6.22688455115583e-14,65.5084719453178,1.10076807294701e-14,281.162379387817,5.96178806614575e-14,-479.952903111266,5.39264020773381e-14,33.9226307890315,8.10143365796377e-15,320.085561635957,5.96178806614575e-14,-356.212577043923,1.32092168753641e-13,67.1193112097315,1.10076807294701e-14,296.883115354137,5.96178806614575e-14,-595.302757123299,1.19235761322915e-13,1.41898046501891,2762.80017802272,1.03122197407954,2657.65019535604,1.31420545334054,2502.00272516371,0.969415566103361,2889.37836639007,0.998250263171895,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.3586976,251.101914555039,9.55409195397102e-14,70.8506010209851,0,283.328464075363,0,-595.026377233448,0,57.8370179725125,8.40725502811724e-15,273.364206652527,0,-486.715490614445,4.75586163323712e-14,56.5070489031478,6.35528743231302e-15,312.535109044376,0,-557.553915946636,1.72414626014223e-13,65.3946182131965,8.98773367955635e-15,289.12912456656,0,-553.566592778687,1.19235761322915e-13,1.34225388644818,2888.78096950954,1.01519894752345,2684.47995719902,0.865677376986559,2839.52476087431,0.838501999375741,2811.78558601623,1.03253836820202,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.4761773,265.21225044901,9.51172326647424e-14,87.5503244959746,3.17764371615651e-14,254.429129557721,2.98089403307288e-14,-599.694786582664,1.79754673591127e-13,68.5600766641401,6.35528743231302e-15,244.356125196519,0,-557.709860484708,8.03887338846093e-14,41.5542496689675,1.32930373793767e-14,283.300960781918,5.96178806614575e-14,-395.461399573858,7.19018694364508e-14,66.7950434899956,6.35528743231302e-15,260.043842138297,0,-454.763219198292,4.40307229178804e-14,1.0553673828598,2895.8436744485,1.3794476002989,2821.98705231057,0.703842174584837,2555.95174019311,0.69913385125531,2602.5527724013,1.28621582169358,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
7.3597632,220.919022353652,8.66745647384557e-14,39.5666874214401,1.91978075550115e-14,296.944993957914,0,-369.89588141468,1.24537691023117e-13,56.0638775947566,1.38510278373033e-14,287.249960215481,4.01943669423046e-14,-560.269869084588,3.59509347182254e-14,51.2118804924943,1.7692371440587e-14,326.387028247908,5.96178806614575e-14,-571.100242767463,7.19018694364508e-14,73.6837395391763,2.10781038478435e-14,303.11748986128,5.96178806614575e-14,-581.285273812897,1.68624830782748e-13,1.47989069962506,2489.85533234221,0.913986053267949,2849.61900530834,0.560916297360619,2902.96847739907,0.643378060708696,2862.1569596043,1.38156769522112,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.5191257,215.468770437138,6.48114692637101e-14,25.3199010295285,1.14019418162181e-14,287.403371773199,0,-314.367074966529,4.75586163323712e-14,60.2058153789584,1.49044701653644e-14,277.828123193291,5.96178806614575e-14,-522.610385163429,8.80614458357608e-14,53.2059917446098,8.98773367955635e-15,316.949606031526,0,-567.377228626537,1.2962293852742e-13,76.316359983479,1.62028673159275e-14,293.692200368225,5.96178806614575e-14,-600.95216478591,2.24513515355869e-13,1.38686297679244,2452.2723792618,0.573102041589889,2750.25441900746,0.859809648441753,2880.06706059295,0.659944363254228,2898.33781478486,1.31079812229331,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.8672153,230.446489917722,6.09577756151999e-14,42.7947112957533,8.98773367955635e-15,278.309179672478,5.96178806614575e-14,-385.021190858827,1.33309633833489e-13,62.943736878719,8.98773367955635e-15,268.64610533665,8.03887338846093e-14,-443.422335041594,7.41147505914642e-14,48.7576033131113,1.14571573537582e-14,307.703303667094,5.96178806614575e-14,-435.125396397831,1.64747879650684e-13,75.4567905215236,8.98773367955635e-15,284.477406395646,0,-545.633159563442,8.80614458357608e-14,1.29586130933646,2517.63035460126,0.770095131870654,2577.26734931069,1.27550020081896,2616.38609636333,1.01609631874437,2795.02959521946,1.42519301425614,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
7.3238202,218.871363150554,4.75586163323712e-14,58.9419121784196,6.35528743231302e-15,254.382208568847,0,-496.524513444634,3.11344227557792e-14,44.1505480571329,1.05390519239217e-14,244.445236240357,2.98089403307288e-14,-367.768097258024,4.40307229178804e-14,47.573681450136,1.32930373793767e-14,283.624886903763,5.96178806614575e-14,-373.810719906151,6.22688455115583e-14,67.5831067802621,2.15518282517779e-14,260.326571217079,5.96178806614575e-14,-538.243989568714,1.07852804154676e-13,1.05916304727718,2700.82693365992,0.694855212366454,2462.13260316653,0.606325449055943,2460.90244341767,1.09069972787255,2782.18584452459,0.907992223957424,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
7.1310634,152.087763065393,4.58286294150329e-14,35.6647645679674,1.10076807294701e-14,293.957501567202,5.96178806614575e-14,-397.001265467621,8.80614458357608e-14,41.2546593770174,5.02429586778808e-15,284.188406634967,5.96178806614575e-14,-363.767293923407,5.08422994585041e-14,34.3343389864844,1.23069611928548e-14,323.291817456285,5.96178806614575e-14,-423.565963775011,9.16572588300659e-14,40.5570875450152,1.00485917355762e-14,299.854502134826,0,-437.991514507165,1.64747879650684e-13,1.45204191762349,2616.15397273874,0.52255166507941,2461.22226767627,0.902339991893591,2709.9218746861,0.573500113992718,2687.15022078761,0.55086312581648,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.6742533,247.84103611056,5.39264020773381e-14,84.905081382152,1.79754673591127e-14,271.785851464649,5.96178806614575e-14,-587.411394340849,1.24537691023117e-13,60.9013806653784,1.21001067767611e-14,261.680871044677,0,-520.11445152239,0,57.5378451563381,8.98773367955635e-15,300.835455455403,0,-534.481425870694,1.07852804154676e-13,43.9233690197318,7.45223508268219e-15,277.230926626624,0,-388.455747215463,8.03887338846093e-14,1.2270165766847,2873.11317095193,1.49646456458494,2746.06895472732,0.741950794817911,2787.98362763089,0.883621774908791,2521.22471087517,0.785886218755989,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.2697927,248.380574035976,1.61779206232014e-13,52.2772059830608,2.05934849563355e-14,259.32866754744,0,-401.991733826298,5.39264020773381e-14,73.2939557027985,2.54211497292521e-14,249.680557419341,8.94268209921863e-14,-605.740625485114,1.24537691023117e-13,61.1428604616857,1.18896540830928e-14,288.761846289848,5.96178806614575e-14,-482.311156118227,1.19235761322915e-13,61.0037024739357,1.16754085334172e-14,265.268318706489,5.96178806614575e-14,-528.052444591443,6.22688455115583e-14,1.10777832680899,2514.62260964722,0.878076346348818,2910.27787358327,0.739890785410098,2663.12042267882,1.20189413518765,2762.54719983666,0.742955306366724,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.3678619,260.778967904584,8.80614458357608e-14,66.1559677852823,1.18896540830928e-14,276.746122274383,5.96178806614575e-14,-620.097797683194,0,80.0921694956726,1.4210854715202e-14,267.029465568882,0,-589.132897058107,1.60777467769219e-13,45.5193936506456,1.43873938407897e-14,305.902528339403,0,-490.689695389533,1.12256757677935e-13,68.444486227342,1.10076807294701e-14,282.62818112031,0,-478.771871191153,1.50393549976376e-13,1.27767522783084,2937.02567170126,0.660909492675575,2876.99462511849,1.2502350209402,2783.38003506086,0.544160799323359,2654.71124912563,1.45222154433523,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.4224464,187.756088436114,8.76015918005489e-14,46.1948088486774,7.45223508268219e-15,298.934571377077,5.96178806614575e-14,-387.076234780017,5.08422994585041e-14,60.1596045439246,6.35528743231302e-15,289.221494397787,5.96178806614575e-14,-506.132381216604,5.96178806614575e-14,47.3632222276565,6.74080025966727e-15,328.293039782704,5.96178806614575e-14,-523.3850043692,1.72414626014223e-13,33.7122165569608,1.32930373793767e-14,304.70992332184,5.96178806614575e-14,-373.430557265581,1.17873022152979e-13,1.49968842805258,2503.87652013249,1.10258300955894,2714.59944981979,1.04928871439437,2838.22739172644,0.690453002047268,2561.24077253606,0.69067214513295,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
6.3534307,196.279969462791,6.35528743231302e-14,66.1328525236727,1.49044701653644e-14,283.336335272656,0,-551.484499284705,0,40.197459168533,8.40725502811724e-15,273.301767898865,5.96178806614575e-14,-391.981496917725,3.59509347182254e-14,22.7472230113186,2.86208519087308e-14,312.341230879542,5.96178806614575e-14,-320.853040021939,1.43803738872902e-13,66.805645658105,1.00485917355762e-14,289.201821658429,5.96178806614575e-14,-569.669068127299,0,1.34404445170121,2807.94522721392,1.01401995921598,2555.74111274119,0.565264550212254,2506.9398640284,0.654515918731432,2842.03009579665,1.0197571652235,12,3,41,153,12,61,126,11,52,162,15,55,150,12.6
